id;lat;lon;depth
21414;48.97;178.165;5200
21415;50.12;171.867;4775
21416;48.12;163.43;5812
21417;43.192;157.142;5516
21418;38.73;148.8;5664
21419;44.401;155.653;5325
21420;28.91;134.999;4877
32301;-9.9;-105.2;nan
32302;-18.0;-85.1;nan
32411;4.979;-90.793;3262
32412;-17.984;-86.374;4364
32413;-7.435;-93.442;3955
32D12;-17.98;-86.33;4373
32D13;-7.43;-93.48;nan
41001;34.703;-72.242;4501
41002;31.759;-74.936;3784
41003;30.4;-80.1;nan
41004;32.502;-79.099;35
41005;31.7;-79.7;nan
41006;29.3;-77.4;nan
41007;34.2;-76.5;nan
41008;31.4;-80.866;16
41009;28.508;-80.185;42
41010;28.878;-78.467;888
41011;28.2;-80.1;nan
41012;30.042;-80.534;38.1
41013;33.441;-77.764;33
41015;35.4;-75.3;nan
41016;24.6;-76.5;nan
41017;35.4;-75.1;nan
41018;15.0;-75.0;nan
41021;31.92;-80.85;nan
41022;31.89;-80.86;nan
41023;31.92;-80.93;nan
41025;35.01;-75.454;48.8
41035;34.476;-77.28;9.7
41036;34.207;-76.949;nan
41040;14.536;-53.136;4988
41041;14.453;-46.327;3450
41043;21.026;-64.793;5262
41044;21.582;-58.63;5419
41046;23.822;-68.393;5490
41047;27.465;-71.452;5347
41048;31.831;-69.573;5394
41049;27.505;-62.271;5480
41420;23.375;-67.345;5740
41421;23.368;-63.882;5846
41424;33.0;-72.66;5250
41425;28.673;-65.617;5263
41A46;23.838;-68.333;nan
41B41;14.329;-46.082;nan
41D20;23.508;-67.287;nan
41S43;21.132;-64.856;5289
41S46;23.866;-68.481;5496
42001;25.926;-89.662;3200
42002;26.055;-93.646;3088
42003;25.925;-85.616;3273
42004;27.5;-85.5;nan
42005;30.0;-85.9;nan
42006;26.5;-96.0;nan
42007;30.09;-88.769;14.9
42008;28.7;-95.3;nan
42009;29.3;-87.5;nan
42010;29.7;-93.4;nan
42011;29.7;-93.5;nan
42012;30.06;-87.548;23.5
42015;30.1;-88.2;nan
42016;30.2;-88.1;nan
42017;27.9;-90.9;nan
42018;30.0;-88.2;nan
42019;27.908;-95.343;85
42020;26.97;-96.679;86
42025;24.9;-80.4;nan
42035;29.235;-94.41;15.5
42036;28.501;-84.508;50.9
42037;24.5;-81.4;nan
42038;27.421;-92.555;1152
42039;28.787;-86.007;281
42040;29.207;-88.237;192
42041;27.504;-90.462;1435.6
42042;29.88;-88.32;nan
42053;29.55;-88.5;nan
42054;26.0;-87.73;nan
42055;22.14;-94.112;3608
42056;19.82;-84.98;4578
42057;16.973;-81.575;412
42058;14.512;-75.153;4136
42059;15.3;-67.483;4761
42060;16.434;-63.329;1469
42065;14.926;-75.046;4145
42080;24.396;-81.934;119.8
42407;15.276;-68.191;4515
42408;25.2;-87.0;nan
42409;25.799;-89.291;3234
42429;27.401;-85.671;nan
42501;26.25;-89.63;3194
42503;27.28;-83.86;3265
42534;nan;nan;nan
43412;16.003;-106.989;3121
43413;10.949;-100.03;3440
