,ind,name,wspd,snr,snr_sh,alti
0,7,2023-10-24_10-06-41,13.28889,2.05304264419339,3.27341542874072,
1,8,2023-10-24_14-41-06,17.837502,4.28013210715469,16.5982320106692,
2,9,2023-10-24_15-53-21,15.178947,5.81348115515532,11.5060777966701,
3,11,2023-10-26_07-36-41,7.828571,17.309627550805,20.7492267064744,3.067
4,12,2023-10-26_11-02-58,9.615789,28.777037598764,33.1952355653698,3.571
5,13,2023-10-26_11-23-18,9.4,29.7787652205197,32.8915949156664,3.579
6,14,2023-10-26_16-22-19,11.513333,28.9845602261428,33.5380942105782,4.902
7,15,2023-10-27_09-45-35,17.21923,44.4047543987389,59.4609764695821,
8,16,2023-10-27_10-13-16,17.234999,45.6936340476084,55.8303994737862,
9,17,2023-10-27_10-35-05,15.226666,93.3560049676036,114.251489068668,
10,18,2023-10-27_13-47-33,18.76875,82.9634872449329,100.534633331008,6.621
11,19,2023-10-27_17-25-02,17.346666,94.1438556571898,755.792499024293,7.108
12,20,2023-10-27_17-42-02,16.7625,71.7376067070048,200.652040633067,7.203
13,21,2023-10-28_07-27-49,18.117647,53.3550839249219,222.159817614967,5.858
14,22,2023-10-28_07-46-07,19.606665,18.6894002049977,192.881047010328,5.895
15,24,2023-10-28_11-38-35,17.647621,39.5730497826991,254.782278403419,6.247
16,25,2023-10-28_12-00-49,17.5,17.0928728216882,51.3811460679922,6.082
17,26,2023-10-29_07-19-09,8.175,19.0092492145155,21.5549547235949,
18,27,2023-10-29_07-37-22,8.588235,49.6946612604689,191.149868868475,
19,28,2023-10-29_07-56-08,9.24,26.2528347122664,104.359164841393,
20,29,2023-10-29_17-57-57,9.457894,21.215943953743,83.3641974074766,3.31
21,30,2023-10-30_18-04-20,2.6999998,9.60501785729343,120.905887616007,3
22,31,2023-10-30_18-23-01,2.9875,6.95167709766115,94.4946460544051,2.954
23,32,2023-10-31_08-06-35,9.961111,3.45482754331936,28.556612569057,2.22
24,34,2023-10-31_17-54-57,4.8117647,6.96468675860763,25.4241979553948,
25,35,2023-10-31_18-13-33,3.9176474,21.3667537600771,110.079678991204,
26,36,2023-10-31_18-32-04,3.6000001,10.4503521235998,66.2074876542508,
27,37,2023-11-01_11-31-54,11.070589,20.2486780202036,243.892956405448,2.21
28,38,2023-11-01_11-50-03,11.229411,24.083895778896,313.352038910832,2.19
29,39,2023-11-01_12-09-32,11.078948,32.1878271052763,500.741864680565,2.207
30,40,2023-11-01_18-34-01,10.692307,24.0145863014469,407.627706860909,2.236
31,41,2023-11-02_07-18-50,10.021052,17.3369771589584,197.589108887604,
32,42,2023-11-02_07-39-03,9.446667,10.6235416096394,18.0656018644515,
33,43,2023-11-02_18-28-45,2.8263159,3.02694483088761,46.4384580725644,1.483
34,44,2023-11-02_18-49-12,2.8647058,2.05430835018113,6.55078409390472,1.456
35,45,2023-11-03_11-21-13,3.377778,8.41142726173685,23.4204923850447,1.138
36,49,2023-11-05_07-17-09,6.5133333,8.18342233636051,9.27903610860536,
37,50,2023-11-05_07-34-11,6.275,7.9098681093988,8.53251568705253,
38,51,2023-11-05_07-52-05,6.25,10.8643311877051,11.8683280266362,
39,52,2023-11-06_18-08-04,8.533334,4.59377120887943,4.63866836744665,1.286
40,53,2023-11-07_06-03-42,9.3111105,3.64855642743037,3.47216967880454,
