Press,Temp,COND,Sal,DENS,C
0.5374,1.2825,26.21,29.99,24.01,1448.33
0.6091,1.3675,26.3878,30.14,24.12,1448.9
0.6807,1.4625,26.5202,30.21,24.17,1449.43
0.7882,1.5215,26.6036,30.26,24.21,1449.76
0.824,1.5457,26.6575,30.3,24.24,1449.92
0.8598,1.5764,26.6943,30.32,24.25,1450.08
1.0031,1.5775,26.7004,30.32,24.26,1450.1
1.1464,1.5811,26.7102,30.33,24.27,1450.13
1.1464,1.5687,26.7102,30.35,24.28,1450.09
1.2539,1.5351,26.6931,30.36,24.29,1449.95
1.3256,1.5026,26.6857,30.38,24.31,1449.84
1.4689,1.4902,26.7053,30.42,24.34,1449.83
1.6122,1.5062,26.7249,30.42,24.35,1449.92
1.648,1.5233,26.7298,30.41,24.34,1449.98
1.7555,1.525,26.7311,30.41,24.34,1449.99
1.7913,1.5062,26.7176,30.41,24.34,1449.91
1.8988,1.42,26.6967,30.47,24.39,1449.6
1.9704,1.3297,26.6857,30.55,24.46,1449.29
2.1496,1.2513,26.6452,30.57,24.48,1448.98
2.2929,1.0589,26.6354,30.75,24.64,1448.34
2.472,0.9398,26.6465,30.88,24.75,1447.98
2.6511,0.9167,26.6575,30.92,24.78,1447.93
2.7944,0.9504,26.6661,30.89,24.76,1448.05
2.9019,0.9769,26.6636,30.87,24.74,1448.14
3.081,0.9746,26.6673,30.87,24.74,1448.14
3.296,0.9663,26.6575,30.87,24.74,1448.1
3.4035,0.9398,26.6538,30.89,24.76,1448.01
3.6184,0.9026,26.6563,30.93,24.8,1447.9
3.7617,0.8837,26.6514,30.94,24.81,1447.83
3.9408,0.8436,26.6452,30.97,24.84,1447.69
4.1558,0.81,26.6771,31.05,24.9,1447.64
4.2274,0.81,26.7151,31.1,24.94,1447.71
4.4424,0.8029,26.6612,31.03,24.89,1447.6
4.6215,0.7085,26.6931,31.17,25.0,1447.35
4.8365,0.6713,26.7004,31.22,25.05,1447.25
5.0156,0.6548,26.7004,31.23,25.06,1447.19
5.1589,0.5934,26.6477,31.23,25.06,1446.91
5.3738,0.5102,26.6158,31.27,25.1,1446.59
5.6962,0.43,26.5606,31.28,25.11,1446.24
5.947,0.3787,26.6036,31.39,25.2,1446.15
6.2336,0.3486,26.5042,31.29,25.13,1445.89
6.4485,0.2117,26.5239,31.46,25.27,1445.48
6.7351,0.1444,26.5374,31.54,25.34,1445.29
